ID,Size,OG,FG,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,ABV
144,19,1.006,1.001,0,1.5,19,60,1.006,35,3,0.64
97,220,1.70346,0.425441,0,1.18,250,60,1.5,72,2.75,0.65
30,25,1.008,1.003,34.68,7.51,28,60,1.007,75,3.5,0.65
7,35,1.016,1.011,6.93,1.69,40,60,1.014,75,2.9,0.65
9,40,1.007,1.002,0,0.58,28.5,60,1.009,80,3,0.66
9,40,1.007,1.002,0,0.58,28.5,60,1.009,80,3,0.66
9,20.82,1.008,1.002,0,11.32,24.98,60,1.006,70,1.5,0.7
100,23,1.006,1.001,41.54,8.78,28,60,1.005,70,2.9,0.71
30,23,1.007,1.002,41.43,12.72,28,60,1.006,70,3,0.72
9,21,1.008,1.002,0,50,28.5,60,1.006,70,3,0.77
39,23,1.009,1.002,0,1.28,29,60,1.007,75,3,0.82
10,18.93,1.008,1.002,0,2.4,22.71,60,1.007,70,1.5,0.83
9,18.93,1.008,1.002,0,0.93,28.39,60,1.006,70,1.33,0.83
67,23.1,1.008,1.002,55.51,10.67,28,60,1.007,70,2.9,0.85
9,20.82,1.009,1.002,105.77,10.3,28.39,60,1.006,70,1.5,0.85
5,18,1.103,1.096,57.6,15.23,22,80,1.084,90,3,0.86
111,8,1.01,1.003,56.04,17.18,9,60,1.009,70,3,0.88
9,21,1.009,1.002,0,1.36,28.5,60,1.007,70,3,0.9
9,25,1.009,1.002,0,0.44,28,60,1.008,70,3,0.92
19,20.82,1.009,1.002,0,1.12,28.39,60,1.007,70,1.5,0.93
157,20.82,1.01,1.002,0,1.44,28.39,60,1.007,70,1.5,0.94
111,10,1.01,1.002,0,32.76,10,60,1.01,35,3,0.95
9,18.93,1.018,1.011,0,0,7.57,1,1.046,100,1.3,0.97
9,20.82,1.01,1.003,176.28,0.46,28.39,60,1.007,70,1.5,1
92,20.82,1.011,1.003,21.6,9.98,28.39,60,1.008,70,1.5,1.04
7,20,1.011,1.003,13.94,3.23,30,60,1.007,75,3,1.07
9,20.82,1.011,1.003,0,0.46,28.39,60,1.008,75,1.5,1.07
105,21,1.01,1.002,2673.83,3.13,28.5,60,1.008,35,3.1,1.09
90,20,1.01,1.002,5.13,1.66,30,60,1.007,75,3,1.09
152,20.82,1.011,1.003,0,2.63,28.39,60,1.008,35,1.5,1.13
7,20,1.011,1.002,9.3,3.23,30,60,1.007,75,3,1.15
9,20.8,1.011,1.002,0,0.5,28.4,60,1.008,70,3.1,1.15
9,20.82,1.012,1.003,0,2.09,28.39,60,1.009,35,1.5,1.16
9,1700.01,3.06884,0.790449,83.21,19.48,1600,75,2.3,80,3,1.17
4,21,1.013,1.003,1229.19,5.95,28.5,60,1.009,35,3.1,1.24
67,18.93,1.013,1.003,0,3.52,26.5,60,1.009,35,1.5,1.27
4,20.82,1.013,1.003,15.79,8.42,28.39,60,1.01,35,1.5,1.35
9,20.82,1.014,1.003,0,3.62,28.39,60,1.01,80,4,1.37
9,20.82,1.012,1.001,125.91,2.09,28.39,60,1.009,35,1.5,1.41
90,21,1.015,1.004,0,13.14,28.5,60,1.011,35,3,1.46
157,910,1.015,1.004,0,3.79,925,70,1.015,35,3,1.49
10,20,1.014,1.002,252.61,2.12,24,60,1.011,89,3.6,1.5
94,20.82,1.015,1.004,0,2.5,28.39,60,1.011,35,1.5,1.51
94,20.82,1.015,1.004,0,2.5,28.39,60,1.011,35,1.5,1.51
64,9.46,1.015,1.003,43.58,11.81,15.14,60,1.009,70,1.5,1.52
9,21,1.016,1.004,0,2.32,28.5,60,1.012,35,3,1.56
7,20.82,1.014,1.002,59.4,9.51,28.39,60,1.011,75,1.5,1.56
10,53,1.016,1.004,109.37,2.88,45.42,60,1.018,35,1.5,1.56
118,23,1.017,1.005,86.19,7.14,23,60,1.017,35,2.9,1.59
9,20.82,1.017,1.005,16.37,6.4,28.39,60,1.013,35,1.5,1.59
9,11,1.016,1.004,0,2.12,14.7,60,1.012,67,2.5,1.6
9,20.82,1.016,1.004,0,2.06,28.39,60,1.012,70,1.5,1.6
10,40,1.017,1.004,26.79,8.02,28.5,60,1.023,35,3,1.62
169,21,1.017,1.004,12.02,6.01,28.5,60,1.013,35,4,1.67
113,21,1.017,1.004,40.74,21.08,11.5,60,1.031,35,3,1.71
121,10,1.017,1.004,0,4.81,12,60,1.014,60,2.8,1.71
9,20.82,1.017,1.004,14.69,0.61,28.39,60,1.013,80,4,1.72
85,13,1.016,1.003,21.99,17.41,15,60,1.014,60,3,1.75
9,20.82,1.018,1.004,0,9.36,28.39,60,1.013,70,1.5,1.75
118,20,1.018,1.004,0,4.5,28.5,70,1.012,35,3,1.75
9,27,1.018,1.004,103.82,2.84,28.5,70,1.017,35,3,1.78
118,20,1.018,1.005,24.02,25.08,25,75,1.014,35,3,1.78
111,24,1.021,1.007,36.01,7.1,28,120,1.018,35,3,1.8
162,26,1.018,1.005,0,2.41,28,60,1.017,60,3,1.8
39,21,1.018,1.005,0,2.19,28.5,60,1.014,70,3,1.81
9,21,1.018,1.005,28.77,9.95,28.5,60,1.014,35,3,1.81
9,20.82,1.019,1.005,0,3,28.39,60,1.014,35,1.5,1.84
7,60,1.018,1.004,53.06,4.42,60,60,1.018,35,3,1.85
118,18.93,1.02,1.006,13.49,13.77,22.71,60,1.017,35,1.5,1.86
10,20.82,1.019,1.005,32.4,4.58,28.39,60,1.014,35,1.5,1.86
173,7.57,1.018,1.004,0,9.89,7.57,0,1.018,70,1.5,1.86
92,100,1.019,1.005,17.89,11.05,28.5,60,1.066,35.1,3,1.86
162,20,1.02,1.005,75.96,31.98,24,60,1.016,35,4,1.86
163,25,1.019,1.005,0,2.73,28.5,90,1.017,35,3,1.87
135,20.82,1.019,1.005,0,4.33,30.28,90,1.013,35,1.5,1.89
15,20.82,1.019,1.004,15.33,4.04,28.39,60,1.014,35,1.5,1.91
92,20.82,1.02,1.006,22.03,9.99,28.39,60,1.015,35,1.5,1.93
100,20.82,1.019,1.005,31.82,2.42,24.61,60,1.016,35,1.5,1.93
15,20.82,1.019,1.004,0,2.89,28.39,60,1.014,35,2,1.94
49,18.93,1.02,1.005,31.11,15.09,28.39,60,1.013,35,1.4,1.95
1,20.82,1.022,1.007,29.96,13.12,28.39,80,1.016,35,1.4,1.95
9,60,1.02,1.005,0,2.99,28.5,90,1.042,35,3,1.95
7,10,1.041,1.026,44.11,9.91,14,60,1.03,52,8,1.97
9,18.93,1.022,1.006,27.31,3.82,15.14,90,1.027,35,1.5,1.99
10,21,1.02,1.005,0,3.77,28.5,60,1.015,35,3,1.99
7,9,1.021,1.005,23.32,2.12,9,60,1.021,60,3,2.01
175,9.46,1.021,1.006,34.51,2.13,5.68,60,1.036,35,1.5,2.02
30,125,1.021,1.005,0,3.09,145,60,1.018,35,3.1,2.04
175,21,1.021,1.006,8.02,4.03,28.5,60,1.016,35,3,2.06
7,22,1.02,1.005,76.13,7.57,28,90,1.016,35,3,2.06
9,20.82,1.021,1.005,0,3.86,28.39,60,1.015,35,1.5,2.07
9,21,1.021,1.005,0,5.08,28.5,60,1.016,35,3,2.08
170,20.82,1.019,1.004,62.54,2.59,28.39,60,1.014,35,1.5,2.08
9,11.36,5.35966,1.35595,0,3.27,15.14,60,4,35,1.5,2.08
9,37.85,1.018,1.002,14.1,6.23,28.39,60,1.023,75,1.5,2.08
27,20.82,1.021,1.005,3.08,2.86,28.39,90,1.016,35,1.5,2.11
66,20,1.024,1.008,60.45,25.66,31,90,1.016,35,3.1,2.11
9,20.82,1.02,1.004,21.02,3.69,24.87,60,1.017,35,1.4,2.12
92,19,1.023,1.007,34.28,16.4,24,60,1.018,35,5,2.13
63,20.82,1.022,1.005,0,21.83,28.39,60,1.016,70,1.5,2.13
7,20.82,1.02,1.004,29.13,10.56,28.39,60,1.015,35,1.5,2.13
165,18.93,1.023,1.006,8.08,8.32,24.61,90,1.017,60,1.5,2.14
169,32,1.021,1.005,18.8,3.45,35,60,1.019,35,3,2.14
4,20.82,1.024,1.007,55.26,11.69,28.39,60,1.017,35,1.5,2.14
30,4428.93,1.021,1.005,16.69,5.44,4428.93,60,1.021,35,1.5,2.15
10,20.82,1.022,1.005,45.92,3.71,28.39,60,1.016,35,1.5,2.16
111,10,1.022,1.006,28,2.93,12,75,1.018,35,3,2.17
10,26.5,1.023,1.006,56.45,5.79,32.18,60,1.019,64,2,2.18
134,20.82,1.022,1.006,7.98,5.59,26.5,60,1.018,70,1.5,2.19
9,50,1.022,1.006,77.7,3.53,65,60,1.017,60,1.5,2.19
9,21,1.022,1.006,0,22.92,28.5,60,1.016,35,3,2.19
7,50,5.49487,1.26499,24.33,4.45,28,60,9.7,70,2.6,2.2
67,20.82,1.021,1.004,15.15,15.81,28.39,60,1.015,35,1.5,2.2
94,20.82,1.022,1.006,22.24,4.08,28.39,60,1.016,35,1.5,2.2
134,20.82,1.024,1.007,25.58,3.44,28.39,60,1.018,35,1.5,2.21
175,20.82,1.022,1.006,0,3.42,28.39,60,1.016,35,1.5,2.21
169,18.93,1.022,1.005,17.65,2.76,22.9,60,1.018,35,1.5,2.21
7,25,1.02,1.003,35.58,4.28,30,60,1.017,35,3.5,2.21
58,37.85,1.022,1.006,0,38.75,47.32,60,1.018,35,1.5,2.21
169,25,1.022,1.005,12.12,3.21,26.5,60,1.021,35,3,2.22
170,21,1.025,1.008,63.38,7.67,28.5,60,1.018,35,3,2.23
88,22.71,1.021,1.004,29.38,12.4,28.39,60,1.017,35,1.5,2.23
10,18.93,1.026,1.009,7.49,7.27,22.71,60,1.021,70,2.7,2.25
157,20,1.023,1.005,32.21,4.23,22,65,1.021,35,3.5,2.26
111,7,1.024,1.007,25.31,2.45,8,60,1.021,70,6.5,2.27
45,20,1.022,1.005,58.95,3.88,28.5,60,1.015,35,3,2.27
134,23,1.022,1.005,0,8.47,28.5,90,1.018,35,3,2.28
94,21,1.023,1.006,29.26,4.41,28.5,60,1.017,35,3,2.28
83,17.03,1.023,1.005,24.75,3.72,28.39,60,1.014,35,1.5,2.29
7,25,1.023,1.006,23.17,7.62,28.5,60,1.02,35,3,2.29
9,75.71,1.024,1.006,0,2.6,75.71,60,1.024,50,1.25,2.3
142,19.87,1.02,1.002,0,1.44,19.87,0,1.02,85,1.25,2.31
45,20.82,1.024,1.006,17.07,4.49,28.39,60,1.017,35,1.5,2.31
10,21,1.022,1.004,23.24,3.38,28.5,60,1.016,35,4.5,2.31
39,20.82,1.024,1.006,0,2.09,28.39,60,1.017,70,1.5,2.32
1,3.79,1.025,1.008,44.54,17.29,4.73,80,1.02,35,2,2.32
118,22.71,1.027,1.009,20.47,5.2,26.5,60,1.023,75,1.5,2.32
9,20.82,1.023,1.005,22.39,2.96,28.39,60,1.017,35,1.5,2.33
45,20.82,1.022,1.004,17.84,2.5,28.39,90,1.016,35,1.5,2.34
162,95,1.024,1.006,64.92,50,100,60,1.023,35,3.1,2.35
88,50,1.022,1.004,0,3.17,40,60,1.027,35,3,2.35
6,20.82,1.027,1.009,23.93,16.32,28.39,60,1.02,35,1.5,2.36
10,23,1.023,1.005,0,11.53,28.5,60,1.018,35,3,2.36
7,20.82,1.023,1.005,30.97,7.35,24.61,60,1.02,35,1.5,2.37
30,18.93,1.023,1.005,38.66,4.43,26.5,60,1.017,35,1.5,2.37
30,90.85,1.024,1.006,33.86,8.51,83.28,60,1.026,35,1.5,2.37
169,20.82,1.024,1.006,8.16,3.13,28.39,60,1.018,35,1,2.39
174,20.82,1.027,1.008,43.3,21.63,28.39,90,1.019,35,1.5,2.39
88,18.93,1.024,1.006,27.83,26.73,26.5,90,1.017,35,1.5,2.39
67,18.93,1.023,1.004,19.39,2.23,20.82,60,1.021,61,1.5,2.4
65,20.82,1.024,1.006,48.79,3.44,28.39,60,1.018,35,1.5,2.4
94,20.82,1.024,1.006,32.27,4.18,28.39,60,1.018,35,2,2.4
4,45.42,1.026,1.007,0,16.16,49.21,60,1.024,35,1.5,2.4
14,24,1.024,1.005,18.24,5.33,28.5,60,1.02,35,3,2.41
39,9,1.025,1.006,0,2.28,14.5,60,1.015,78,6,2.42
111,18.93,1.025,1.006,0,37.6,9.46,0,1.049,60,1.5,2.42
157,25,1.023,1.005,30.81,4.79,30,60,1.019,35,3,2.43
90,23,1.022,1.003,0,4.81,30,60,1.017,35,3,2.43
6,20.82,1.027,1.008,35.35,18.58,28.39,60,1.02,35,1.5,2.44
169,20.82,1.025,1.006,34.42,3.8,26.5,60,1.019,35,1.5,2.44
7,20.82,1.026,1.007,51.12,7.51,28.39,60,1.019,35,1.5,2.45
27,20.82,1.024,1.005,2.72,2.09,24.98,0,1.02,70,1.3,2.45
157,19,1.024,1.006,35.92,6.4,27,60,1.017,35,2.5,2.45
175,20.82,1.023,1.005,10.64,3.68,28.39,60,1.017,35,1.5,2.45
92,20.82,1.025,1.006,66.3,7.8,28.39,60,1.018,35,1.5,2.46
9,22.71,1.025,1.006,0,5.2,24.61,30,1.023,70,1.96,2.46
10,15,1.025,1.006,88.02,13.61,28.5,60,1.013,35,3,2.47
90,24,1.023,1.004,8.33,3.65,28.5,60,1.019,35,3,2.47
7,11.36,1.026,1.007,52.22,6.42,18.93,60,1.016,35,1.3,2.47
35,20,1.025,1.006,67.63,19.55,28,60,1.018,35,3,2.47
111,21,1.023,1.004,195.8,3.63,20,60,1.024,35,3,2.47
9,37.85,1.025,1.006,0,2.85,49.21,60,1.019,65,1.8,2.47
4,20.82,1.029,1.01,34.77,12.62,28.39,60,1.021,35,1.6,2.48
4,21,1.025,1.006,0,9.41,28.5,60,1.019,35,3,2.48
169,113.56,1.025,1.006,0,3.08,113.56,60,1.025,35,1.5,2.48
111,18.93,1.025,1.006,0,6.07,9.46,0,1.051,60,1.5,2.49
9,21,1.025,1.006,0,24.63,28.5,60,1.019,35,3,2.49
31,28.39,1.025,1.006,41.42,3.58,37.85,90,1.019,35,1.5,2.49
30,37.85,1.026,1.007,32.32,6.07,43.53,60,1.023,35,1.5,2.5
108,23,1.024,1.005,36.2,10.8,14,60,1.04,35,3,2.5
25,20.82,1.025,1.006,24.01,3.7,28.39,60,1.018,35,1.5,2.51
139,25,1.026,1.007,18.35,10.93,30,60,1.022,35,3,2.52
145,21,1.026,1.006,59.44,2.24,28.5,60,1.019,70,2.5,2.52
157,18.93,1.025,1.006,48.47,9.56,24.61,90,1.019,35,2,2.52
33,20.82,1.024,1.005,48.79,3.44,28.39,60,1.018,35,1.5,2.52
92,25,1.026,1.006,31.19,16.64,33,60,1.019,35,3,2.52
155,25,1.027,1.008,15.68,3.51,33,70,1.021,35,3,2.52
10,20.82,1.026,1.006,0,8.4,28.39,60,1.019,35,1.5,2.52
134,20.82,1.024,1.005,30.84,3.44,28.39,60,1.018,35,1.5,2.52
30,21,1.027,1.007,68.88,5.26,28.5,60,1.02,35,3,2.52
123,22,1.028,1.008,22.35,3.16,24,60,1.025,80,3,2.52
10,20.82,1.025,1.006,97.56,4.61,28.39,60,1.018,35,1.5,2.53
10,21,1.026,1.006,0,8.63,28.5,60,1.019,35,3,2.53
109,50,1.025,1.005,10.05,3.49,60,60,1.021,35,3,2.53
11,20.82,1.027,1.008,20.75,42.53,28.39,60,1.02,35,1.5,2.53
28,23,1.026,1.006,47.29,9.29,27,60,1.022,35,3,2.53
9,21,1.026,1.006,0,3.58,28.5,60,1.019,35,6.3,2.53
11,20.82,1.025,1.006,0,23.45,28.39,60,1.019,35,1.25,2.53
115,18.93,1.026,1.006,23.19,9.5,22.71,60,1.021,35,1.5,2.54
155,3.79,1.029,1.01,18.01,13.73,11.36,60,1.01,35,1.5,2.54
157,21,1.026,1.006,15.64,7.48,28.5,70,1.019,35,3,2.55
5,18.93,1.026,1.006,0,2.23,26.5,60,1.019,70,1.5,2.55
11,47.32,1.026,1.006,0,3.59,53,90,1.023,35,1.25,2.55
53,19,1.034,1.015,17.4,24.71,25,75,1.026,48,3,2.55
129,37.85,1.028,1.008,32.64,30.88,45.42,60,1.023,35,1.5,2.55
9,20,1.025,1.006,36.4,16.34,25,60,1.02,35,3,2.55
9,20.82,1.024,1.005,27.59,3.41,28.39,60,1.018,35,1.25,2.55
9,25,1.027,1.008,22.66,27.57,28,90,1.024,28,2.5,2.56
175,20.82,1.025,1.005,10.07,2.97,28.39,60,1.018,72,1.3,2.56
45,18.93,1.024,1.004,0,6.41,28.39,60,1.016,35,1.25,2.57
170,23,8.26675,3.38361,30.04,3.36,28,60,6.8,70,3,2.58
7,22,1.026,1.007,41.57,3.56,29,60,1.02,35,3,2.58
27,35,1.027,1.007,3.84,2.44,46,30,1.02,68,3,2.58
7,40,1.024,1.005,29.19,5.25,45,120,1.022,35,3,2.58
75,18.93,1.025,1.005,24.95,4.23,28.39,60,1.017,35,1.5,2.58
113,30,1.026,1.007,24.9,18.95,28.5,60,1.028,35,4,2.58
4,3.79,1.024,1.005,12.53,12.79,6.81,60,1.014,35,1.5,2.59
10,20,1.026,1.007,0,11.15,20,60,1.026,35,3,2.59
75,9.46,1.026,1.006,30.26,5.62,13.06,60,1.017,100,1.5,2.6
7,20,1.026,1.006,24.11,3.64,25,60,1.021,75,3,2.6
90,20,1.024,1.004,119.63,5.95,23,80,1.021,35,3,2.6
10,110,1.026,1.007,0,6.19,28.5,60,1.102,35,3,2.6
27,11.36,1.022,1.002,1.87,2.15,12.3,0,1.02,59,1.5,2.61
10,23,1.026,1.006,36.33,2.13,28.4,60,1.021,70,2.5,2.61
39,20,1.027,1.007,0,6.4,32,60,1.017,35,1,2.62
10,56.78,1.027,1.007,56.33,5.94,56.78,60,1.027,35,1.5,2.62
175,20.82,1.027,1.007,12.28,4.59,28.39,60,1.02,35,1.5,2.62
1,20.82,1.027,1.007,0,9.08,28.39,60,1.02,35,1.5,2.62
9,20.82,1.027,1.007,0,3.81,28.39,60,1.02,35,1.3,2.63
159,20.82,1.028,1.008,37,12.98,28.39,60,1.02,35,1.5,2.63
7,50.02,1.026,1.006,17.71,7.02,40,90,1.033,35,3,2.63
45,20.82,1.026,1.006,0,3.43,28.39,60,1.019,35,1.5,2.64
57,45.42,1.027,1.007,0,0,37.85,60,1.032,70,1.25,2.64
39,4.5,1.026,1.006,19.68,2.79,5,60,1.023,63,2,2.64
134,20.82,1.026,1.006,0,3.34,28.39,60,1.019,35,1.5,2.64
45,24,1.029,1.009,58.59,4.67,35,60,1.02,35,3,2.65
9,20.82,1.029,1.009,43.97,14.18,28.39,60,1.021,35,1.5,2.66
51,20.82,1.03,1.009,23.13,15.18,28.39,90,1.022,35,1.5,2.66
27,20.82,1.027,1.007,7.38,4.26,28.39,90,1.02,70,1.5,2.67
39,37.85,1.028,1.007,21.99,8.56,49.21,60,1.021,35,1.5,2.67
81,21,1.024,1.003,54.12,3.07,28.5,60,1.018,35,2.2,2.67
6,41.64,1.027,1.007,0,20.01,49.21,60,1.023,35,1.5,2.67
34,20.82,1.03,1.01,62.96,22.09,24.61,60,1.026,60,1.5,2.67
37,23,1.028,1.008,26.03,15.55,28.5,70,1.023,60,2.5,2.68
10,50,1.027,1.006,56.87,6.7,50,90,1.027,70,1.5,2.68
7,30,1.027,1.007,31.01,5.88,35,60,1.023,35,3,2.68
10,20.82,1.027,1.006,75.87,9.6,28.39,60,1.02,35,1.5,2.69
27,22,1.025,1.005,6,3.03,32,30,1.017,80,4.3,2.69
4,25.06,1.027,1.007,31.91,10.23,30.03,60,1.023,35,3,2.7
115,18.93,1.03,1.009,28.08,8.2,28.39,60,1.02,35,1.5,2.71
9,6.5,6.96061,1.76892,0,39.13,7,60,6.5,75,3,2.71
37,21,1.028,1.007,33.01,23.72,28.5,90,1.02,35,3,2.71
45,20.82,1.027,1.006,16.37,2.73,28.39,60,1.02,35,1.5,2.71
7,41.64,1.027,1.006,111.78,5.21,49.21,60,1.023,35,1.5,2.71
53,20.82,1.027,1.006,0,4.5,28.39,60,1.02,35,1.25,2.71
9,27,1.028,1.007,0,3.58,28.5,60,1.026,80,3,2.71
7,23,1.026,1.005,0,12.5,26,60,1.023,35,2.5,2.72
4,20,1.026,1.005,50.37,25.33,28.5,60,1.018,35,3,2.72
7,20.82,1.028,1.007,0,4.33,28.39,60,1.021,35,1.5,2.72
9,37.85,1.028,1.007,76.44,14.4,45.42,60,1.023,35,1.5,2.72
170,20.82,1.028,1.007,11.81,3.85,28.39,60,1.02,35,1.5,2.73
75,11.36,1.026,1.005,61.3,3.82,11.36,60,1.026,35,1.5,2.73
7,35,1.025,1.004,17.07,3.45,40,60,1.022,75,2.5,2.73
10,18.93,1.027,1.006,53.19,5.7,22.71,60,1.023,35,1.5,2.73
7,20.82,1.028,1.007,140.47,10.76,17.03,60,1.034,35,1.5,2.74
10,25,1.027,1.006,40.84,2.64,30,60,1.023,70,1.5,2.74
9,50,1.028,1.007,0,2.24,58,60,1.024,75,3,2.74
30,20.82,1.026,1.005,93.27,4.78,30.28,60,1.018,35,1.5,2.74
9,50,1.028,1.007,0,50,28.5,60,1.049,35,13,2.75
24,19,1.027,1.006,19.78,3.34,21,60,1.024,35,4.13,2.75
9,37.85,1.029,1.008,46.17,11.9,53,60,1.021,35,1.5,2.76
27,720,1.03,1.008,7.9,4.2,800,60,1.027,70,2.75,2.77
92,7.57,1.029,1.008,13.27,10.58,10.79,60,1.02,72,1.5,2.77
9,40,1.024,1.003,0,2.87,28.5,60,1.034,80,3,2.77
7,20.82,1.031,1.01,70.93,10.77,28.39,60,1.022,35,1.5,2.77
23,21,1.028,1.007,0,9.04,28.5,60,1.021,35,3.1,2.77
9,20.82,1.028,1.007,0,11.46,28.39,60,1.021,71,2,2.77
65,7.57,1.028,1.007,43.14,7.84,10.11,60,1.021,35,1.5,2.78
7,19,1.028,1.007,217.85,5.08,22,60,1.024,35,3,2.78
7,23,1.028,1.007,75.96,3.92,28.5,60,1.023,35,3,2.78
7,20,1.026,1.004,98.67,5.69,25,60,1.02,35,3,2.78
9,10,1.03,1.009,10.39,2.99,12,60,1.025,60,3,2.78
10,20.82,1.029,1.008,112.43,7.29,28.39,60,1.021,35,1.5,2.78
10,41.64,1.028,1.007,0,2.37,47.32,60,1.025,70,1.5,2.78
10,83.28,1.029,1.008,0,3.92,94.64,60,1.026,35,1.5,2.78
39,22.71,1.028,1.007,15.86,3.52,30.28,60,1.021,35,1.5,2.79
10,20.82,1.032,1.01,87.47,6.22,28.39,60,1.023,35,1.5,2.79
10,20.82,1.025,1.004,32.88,3.14,28.39,60,1.018,35,1.75,2.79
9,20.82,1.028,1.007,14.59,11.2,28.39,60,1.021,35,1.5,2.79
19,20.82,1.031,1.01,0,29.27,28.39,60,1.023,35,1.5,2.8
134,15.14,1.026,1.005,20.66,4.56,18.93,60,1.021,35,1.25,2.8
140,23,1.029,1.008,0,15.25,28,60,1.024,90,4.1,2.8
27,60.2,1.032,1.011,3.33,3.22,60.2,0,1.032,70,2.5,2.81
100,10,1.029,1.007,8.24,2.4,19.1,60,1.015,60,3,2.81
7,3.79,1.027,1.005,298.63,5.94,5.68,60,1.018,35,1.5,2.81
6,20.82,1.026,1.005,18.89,12.94,28.39,60,1.019,35,1.5,2.81
169,20,1.025,1.003,8.92,6.66,26,75,1.019,35,3,2.81
150,18.93,1.028,1.007,106.26,21.99,22.71,60,1.022,35,1.5,2.81
10,83.28,1.031,1.009,51.49,4.48,90.85,60,1.028,35,1.5,2.81
9,37.85,1.028,1.007,46.48,32.58,43.53,60,1.024,35,1.5,2.82
105,20.82,1.033,1.012,10.75,17.51,25.55,60,1.026,74,1.25,2.83
23,20.82,1.027,1.005,24.35,4.65,28.39,60,1.02,35,1.1,2.83
10,7.57,1.026,1.004,44.17,3.59,13.25,60,1.015,35,1.5,2.83
120,21,1.032,1.01,26.68,2.96,24,60,1.028,70,10,2.83
92,18.93,1.026,1.005,53.83,14.21,24.61,90,1.02,35,1.25,2.83
10,15,1.03,1.008,63.1,3.04,16,60,1.028,39,2.7,2.84
9,18.93,1.027,1.005,12.47,3.31,26.5,60,1.019,35,1.5,2.84
9,50,1.029,1.007,0,3.66,50,60,1.029,35,3.1,2.84
