Size,OG,FG,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,PitchRate,PrimaryTemp,ABV,IBU
22,1.05,1.014,14.17,26,60,1.043,70,3,0.75,20,4.77,38.66
18.93,1.058,1.015,4.3,22.71,60,1.048,60,1.25,0.75,19.44,5.61,47.99
20.82,1.061,1.013,3.84,26.5,60,1.048,70,1.5,1,23.89,6.23,30.98
20.82,1.038,1.011,2.58,28.39,60,1.028,82,1.5,1.25,18.33,3.58,7.48
20.82,1.075,1.014,4.56,29.15,70,1.044,65,2.2,1,22.22,8.01,35.71
25,1.065,1.01,6.18,30,90,1.054,75,3,0.5,20,7.18,29.56
23,1.084,1.015,49.67,30,60,1.059,70,2,1,18,9.07,59.5
23,1.052,1.013,8.02,25,60,1.048,76,4,0.75,19,5.14,36.89
19,13.1223,2.58355,12.82,26,80,9.7,65,3.5,0.75,18,5.65,21.97
48,1.049,1.008,3.46,60,90,1.039,80,2.5,1.5,11,5.34,25.12
45,1.051,1.011,13.16,54,70,1.043,78,3,0.75,19,5.24,30.54
20.82,1.055,1.015,9.1,27.25,75,1.042,72,1.5,1.5,11.67,5.27,35.16
49.21,1.091,1.007,6.12,61.51,90,1.073,85,1.25,1,16.67,11.11,348.87
20,1.044,1.011,3.57,28,75,1.031,60,3,0.35,21.5,4.34,19.34
22.71,1.048,1.008,3.08,30.28,90,1.03,72,1.5,0.5,18.33,5.21,16.67
25,1.063,1.01,5.3,32,90,1.049,80,2.5,1,20,6.97,20.64
24.61,1.053,1.008,15.74,28.39,90,1.046,72,1.18,1.5,15.56,5.86,30.51
20.82,1.058,1.01,10.38,28.39,60,1.043,72,1.5,0.75,16.67,6.34,65.38
18.93,1.089,1.025,40,24.61,60,1.068,75,1.45,0.35,20,8.33,58.15
20.82,1.046,1.011,42.11,24.61,60,1.039,65,1.3,1,20,4.7,41.97
20.82,1.066,1.016,8.65,28.39,60,1.048,75,1.25,0.75,18.33,6.47,61.32
20,14.0295,2.64942,4.68,25,60,11.3,60,3.5,0.75,19,6.12,31.99
22.71,1.088,1.022,5.64,31.23,90,1.064,70,1.5,1,23.89,8.67,33.9
20.82,1.047,1.01,8.91,28.39,90,1.035,75,1.5,1,12.22,4.93,28.17
9.4,1.082,1.02,14.03,11,70,1.07,72,2.6,1,18,8.02,29.22
19.5,1.064,1.017,8.55,24,60,1.052,43.5,3,0.35,20,6.23,15.44
18.93,1.052,1.01,12.65,26.5,60,1.037,70,1.7,0.35,16.67,5.54,13.74
18.93,1.071,1.02,27.44,30.28,90,1.044,70,1.5,0.35,16.67,6.68,44.32
20.82,1.061,1.014,37.22,24.61,60,1.051,72,1.5,0.75,20,6.13,29.16
904.71,1.056,1.01,6.08,1059.92,60,1.048,70,1.33,0.75,20,5.95,0.62
20.82,1.079,1.015,31.84,28.39,60,1.058,70,1.5,0.35,22.22,8.5,73.65
21.77,1.064,1.018,32.4,30.28,60,1.046,73,1.2,1,20,6.07,39.17
24,1.051,1.012,16.02,32,90,1.039,70,4,0.75,19,5.19,30.05
19.87,1.074,1.024,42.11,24.61,60,1.06,65,1.3,0.75,19.44,6.58,46.09
20.82,1.049,1.012,13.21,26.5,90,1.038,75,1.5,0.75,18.33,4.87,30.47
20.82,1.061,1.014,15.48,26.5,60,1.048,70,1.38,1,19.44,6.14,35.88
20.82,1.105,1.026,40,28.39,60,1.077,70,1.33,1.25,18.33,10.36,51.68
18.93,1.067,1.015,6.73,26.5,60,1.036,70,1.5,0.75,21.11,6.83,36.5
45.42,1.092,1.022,5.53,56.78,90,1.063,77,1.75,1.25,20,9.23,43.72
45.42,1.088,1.019,6.68,53,60,1.067,85,1.25,1.25,18.89,9.78,145.19
22,1.064,1.016,4.48,30,60,1.047,70,3.1,0.75,19,6.35,20.89
18.93,1.057,1.015,4.77,45.42,60,1.024,75,1.5,0.75,17.78,5.54,25.39
50,1.057,1.017,9.08,60,60,1.048,70,5,1.5,11,5.31,35.74
25,1.046,1.008,5.53,28,65,1.041,58,3.85,0.75,21,5.03,18.2
20.82,1.058,1.016,17.32,26.5,60,1.045,70,1.25,0.5,20.56,5.52,20.78
47.32,1.051,1.014,3.77,51.86,90,1.046,67,1.3,0.75,20,4.86,62.03
20.82,1.097,1.023,37.34,28.39,60,1.071,85,1.25,1,19.44,9.67,44.41
20.82,1.055,1.013,22.89,26.5,60,1.044,70,1.4,1,18.33,5.57,37.77
10,1.049,1.008,5.44,10,60,1.049,70,3,0.75,20,5.33,27.57
18.93,1.079,1.027,7.03,22.71,60,1.066,77,1.5,1,21.11,6.92,66.7
20,1.054,1.011,4.54,27,60,1.04,63,2,0.35,20,5.65,71.21
22.71,1.072,1.013,5.47,32.18,90,1.045,80,1.5,1,15.56,7.76,140.13
22.71,1.058,1.012,27.35,26.5,30,1.05,78,1.6,1,18.89,6.2,21.65
18.93,1.061,1.014,3.92,29.34,100,1.039,67,1,1,19.44,6.16,65.11
20.82,1.05,1.01,7.35,25.55,60,1.041,75,1.5,0.75,18.33,5.31,43.53
20.82,1.045,1.01,4,27.44,60,1.034,65,1.5,0.35,21.11,4.58,9.44
17.03,1.067,1.026,40,22.71,60,1.04,70,1.25,0.5,21.11,5.42,30.44
18.93,1.081,1.025,11.51,26.5,60,1.022,73,1.75,0.5,23.33,7.47,14.12
22.71,1.05,1.015,6.1,31.23,90,1.036,77.7,1.3,1.5,16.67,4.62,15.27
22.71,1.065,1.013,40,28.39,60,1.052,70,1.25,0.75,18.33,6.78,85.25
23,1.073,1.021,24.01,27,60,1.056,75,3,0.35,19,6.82,22.99
20,1.062,1.011,5.25,23.9,90,1.052,78,3,0.35,22,6.69,25.71
15,1.052,1.013,18.86,17,60,1.042,72,5.5,0.5,18,5.14,20.7
20.82,1.122,1.019,50,32.18,180,1.079,72,1.1,1.25,19.44,13.55,79.74
20.82,1.05,1.012,3.39,28.39,90,1.036,70,1.33,1,16.67,4.96,16.37
17.03,1.122,1.024,50,22.71,90,1.091,68.5,1.4,0.5,23.89,12.83,100.72
20.82,1.062,1.016,29.42,28.39,60,1.046,75,1.05,0.5,18.33,6.06,32.81
20.82,1.095,1.027,40,32.18,90,1.061,65,1.3,1,20,8.97,113.13
38,1.065,1.018,5.64,62,90,1.04,65,5.2,1,21,6.11,25.08
25,1.062,1.01,14.1,32,90,1.046,80,2.5,1,20,6.92,23.9
18.93,1.053,1.013,3.34,30.28,60,1.033,70,1.5,0.35,18.33,5.26,24.57
20.82,1.072,1.021,10.35,28.39,60,1.053,70,1.25,0.35,20,6.63,20.72
24.8,1.048,1.012,2.88,29,60,1.041,74,3,0.5,22,4.72,14.98
20.82,1.075,1.018,26.21,26.5,60,1.059,60,1.25,1,15.56,7.85,29.53
12.49,1.052,1.015,22.78,15.14,60,1.043,75,1.25,0.35,20,4.84,25.66
45.42,1.054,1.015,3.81,54.89,90,1.044,80,1.5,1,15.56,5.01,18.43
41.64,1.061,1.011,14.21,53,60,1.048,80,1.25,0.75,18.89,6.62,82.3
18.93,1.088,1.027,5.18,26.5,60,1.063,75,1.5,0.35,21.11,8.06,29
22.71,1.055,1.009,3.12,30.28,90,1.041,75,1.5,0.5,18.33,5.99,24.82
25,1.063,1.013,6.35,35,60,1.045,75,2.6,0.75,19,6.59,54.72
18.93,1.052,1.015,4.24,30.28,90,1.033,60,1.5,1.5,12.78,4.92,44.69
20.82,1.089,1.024,18.4,30.28,90,1.061,70,1.25,0.75,16.67,8.49,27.86
22.71,1.051,1.013,7.16,31.23,60,1.037,70,1.75,1.5,12.22,5.05,48.74
22.71,1.051,1.013,2.92,28.39,90,1.041,81,1.75,1.5,13.33,5,33
22.71,1.089,1.021,21.12,30.28,120,1.067,73,1.35,1,18.89,8.96,31.15
20.82,1.162,1.039,10.51,32.18,90,1.053,47,1.1,1.25,20,16.17,290.06
25,1.052,1.011,3.19,28,60,1.046,70,3,0.75,17,5.33,26.8
41.64,1.05,1.011,18.2,49.21,60,1.042,70,1.5,0.5,20,5.12,15.11
30.28,1.035,1.006,3.64,39.75,40,1.027,59,2,0.75,32.22,3.84,12.11
41.64,1.063,1.018,4.06,49.21,60,1.054,73,1.5,1,20,5.99,65.83
20.82,1.039,1.009,17.19,28.39,60,1.029,75,1.5,0.5,20,4.05,20.61
18.93,1.061,1.014,35.81,26.5,60,1.043,83,1.2,0.35,20,6.08,26.94
43.53,1.043,1.012,2.63,49.21,60,1.038,70,1.33,1.25,18.89,4.09,17.06
681.37,1.063,1.012,6.06,687.05,60,1.063,75,1.4,1,15.56,6.73,146.09
22.71,1.077,1.018,34.62,28.39,90,1.062,70,1.25,1,20,7.74,44.17
43.53,1.091,1.023,18.9,52.05,90,1.076,75,1,1.25,17.78,8.9,86.05
41.64,1.035,1.009,2.65,49.21,90,1.029,76,1.5,0.5,19.44,3.43,6.52
25,1.063,1.011,5.22,29,90,1.054,72,3,1,18,6.75,28.24
21,1.057,1.013,9.41,26.5,60,1.045,80,3,1,18,5.77,44.1
18.93,1.075,1.019,50,30.28,60,1.047,60,1.5,0.5,18.33,7.42,40.35
20.82,1.067,1.017,26.8,30.28,75,1.046,80,0.75,0.5,18.89,6.64,40.92
20.82,1.045,1.011,4.15,28.39,60,1.033,75,1.5,2,17.78,4.48,19.68
21,1.052,1.012,13.96,28.5,75,1.038,60,2.75,0.75,17,5.27,30.16
30.28,1.07,1.018,8.96,36.91,60,1.057,70,1.5,0.75,20,6.82,51.27
22.71,1.077,1.017,11.44,30.28,90,1.057,70,1.25,0.75,20,7.81,164.83
12.11,1.081,1.018,4.83,17.03,60,1.052,70,1.5,1.25,18.89,8.19,105.22
22.71,1.051,1.013,3.07,28.39,60,1.04,75,1.6,0.75,18.33,4.96,18.56
39.75,1.08,1.017,35.91,45.42,90,1.063,70,1.75,0.5,18.33,8.31,67.07
37.85,1.094,1.023,21.64,49.21,90,1.072,70,1.5,1.25,20.56,9.24,41.97
20.82,1.057,1.014,13.04,24.61,90,1.048,70,1.33,1.75,12.22,5.74,31.48
18.93,1.065,1.019,40,26.5,60,1.047,70,1.3,0.35,17.78,6.09,79.16
20.82,1.05,1.012,4.28,28.69,60,1.036,75,1.25,0.35,22.22,4.98,22.29
48,1.063,1.011,8.33,60,90,1.05,75,1.5,1,18,6.71,27
20.82,1.065,1.012,5.93,30.28,90,1.045,60,1.5,0.75,20,6.94,26.86
37.85,1.052,1.013,3.81,45.42,90,1.043,76,1.5,0.75,18.33,5.1,32.01
13.25,1.07,1.016,18.15,20.82,60,1.036,75,1.25,1,17.78,7.17,23.15
12.5,1.054,1.014,29.22,13.5,60,1.05,75,2.75,0.75,18,5.24,39.85
24.61,1.06,1.011,14.66,37.85,60,1.039,70,1.75,0.75,18.33,6.49,56.49
21,1.071,1.021,50,30.3,120,1.049,75,2.5,1,21,6.6,17.01
22.7,1.075,1.018,5,30,90,1.065,70,2.9,1.25,17,7.45,39.31
20.82,1.051,1.012,23.74,28.39,60,1.037,70,1.5,0.5,20,5.11,31.79
41.64,1.065,1.018,19.56,53,90,1.051,70,1.5,0.5,19.44,6.12,60.95
23,1.045,1.013,5.61,27,60,1.038,55,5,0.35,22,4.14,18.41
21,1.063,1.014,20.75,23,60,1.053,65,2,0.35,20,6.44,17.65
41.64,1.063,1.019,5.65,49.21,60,1.053,95,1.5,1,21.11,5.82,66.87
18,1.057,1.012,34.87,32.1,90,1.032,60,2.087,0.5,26,5.93,36.58
41.64,1.076,1.018,15.95,47.32,60,1.067,80,1.52,1,18.33,7.59,108.43
21,1.052,1.012,10.11,26,70,1.042,65,3,0.75,17,5.33,34.5
22.71,1.069,1.017,5.34,30.28,90,1.052,80,1.75,1,16.67,6.84,182
62.46,1.06,1.019,16.01,77.6,90,1.048,68,1.33,1.5,15.56,5.31,20.3
20.82,1.061,1.015,9.16,26.5,60,1.048,66,1.3,0.75,17.78,6.14,53.55
20.82,1.046,1.01,7.55,24.61,60,1.039,70,1.5,0.5,21.11,4.73,37.85
20.82,1.056,1.017,3.95,22.71,60,1.051,66,1.4,0.75,20,5.14,29.88
20.82,1.121,1.034,5.52,36.26,90,1.07,75,1.5,2,8.89,11.49,137.44
20.82,1.047,1.009,2.84,26.5,60,1.037,77,1.5,1.5,8.89,5,39.87
20.82,1.103,1.015,30.99,28.39,90,1.076,75,1.4,1.25,23.89,11.51,45.45
20.82,1.134,1.037,32.22,28.39,60,1.099,70,1.5,0.35,18.89,12.76,77.33
20.82,1.051,1.016,20.38,20.82,60,1.051,52,1,0.35,21.11,4.62,35.5
50,1.04,1.005,4.25,60,90,1.034,35,36,0.5,20,4.68,17.72
475,1.057,1.011,30.94,490,60,1.055,75,2.6,0.35,17,6.08,90.5
20.82,1.057,1.017,9.14,28.39,60,1.042,70,1.5,0.75,22.22,5.31,40
18.93,1.048,1.012,11.01,26.5,60,1.034,67,1.5,0.75,18.89,4.67,36.93
5.4,1.058,1.014,12.13,7.4,90,1.042,75,3,0.75,18,5.76,16.18
20.82,1.052,1.012,7.15,28.39,60,1.032,70,1.5,0.35,21.11,5.16,18.31
20.82,1.047,1.011,3.37,22.71,60,1.043,70,1.25,0.5,20,4.76,23.2
5.5,1.099,1.029,17.34,6.5,60,1.084,50,2.5,1.5,15,9.21,28.14
3.79,1.074,1.018,8.2,4.73,60,1.059,35,1.5,0.35,20,7.24,88.02
22.7,1.072,1.017,38.02,28.4,90,1.057,75,2.5,1,19,7.26,37.86
22.33,1.062,1.01,5.06,30.28,90,1.046,73,1.5,0.35,22.22,6.88,40.68
21.77,1.066,1.011,7.05,32.18,60,1.04,63,1.3,1,20,7.17,76.09
20.82,1.044,1.011,13.54,28.39,60,1.032,72,1.5,0.5,20,4.33,16.49
24.61,1.043,1.011,4.18,30.28,90,1.035,75,1.25,1.25,20,4.14,17.05
22.71,1.059,1.018,6.09,30.28,90,1.045,72,1,2,11.11,5.37,24.54
22.71,1.048,1.008,3.1,28.39,60,1.038,70,1.5,1.5,8.89,5.33,13.85
18.93,1.072,1.018,10.68,24.61,90,1.056,65,1.5,0.5,22.22,7.17,43.44
18.93,1.067,1.016,12.48,24.61,90,1.051,70,1.5,0.5,20,6.69,67.42
20.82,1.09,1.017,38.11,28.39,60,1.066,80,1.5,1,20,9.51,32.3
20.82,1.071,1.016,12.2,28.77,60,1.051,70,1.25,0.75,20,7.21,181.85
20.82,1.044,1.01,4.28,25.17,60,1.037,70,1.5,0.75,20,4.5,19.19
3.8,1.072,1.013,50,7,60,1.039,60,4.7,1.5,12,7.7,95.85
23,1.055,1.014,6.89,30,60,1.042,70,1.5,0.35,19,5.44,56.64
14.75,1.054,1.013,12.68,19,60,1.042,72,4.1,0.75,19,5.36,35.15
18.93,1.08,1.019,31.45,26.5,110,1.057,70,1.25,1.25,20,8.05,20.24
18.93,16.069,3.44062,12.01,22.71,60,13.5,70,1.33,0.35,16.67,6.86,88.23
22.71,1.122,1.033,15.73,30.28,60,1.092,70,1,1,18.33,11.77,47.74
22.71,1.044,1.01,8.94,30.28,90,1.033,78,2,0.75,19.44,4.41,30.34
25,1.05,1.009,3.05,32,90,1.039,80,2.5,0.75,20,5.41,16.75
20.82,1.071,1.014,6.56,28.39,90,1.052,75,1.5,1.25,20,7.51,156.63
23,1.044,1.006,4.65,32,75,1.032,71,3.9,0.5,20,4.97,72.61
20.82,1.081,1.022,40,28.39,60,1.052,68,1.75,1.25,20,7.74,37.38
40,1.114,1.037,50,49.4,90,1.092,74,2.3,1.25,19,10.03,39.31
20.82,1.07,1.026,38.7,28.39,60,1.046,76,1.255,0.75,18.89,5.82,31.38
21.77,1.076,1.012,3.59,33.12,90,1.039,76,1.2,1,23.89,8.34,30.31
22.71,1.061,1.012,15.41,28.39,60,1.049,70,1.45,0.75,20,6.48,67.91
5.4,1.054,1.003,3.36,7.4,120,1.039,75,3,0.5,22,6.64,5.13
20.82,1.127,1.038,50,37.85,190,1.07,77,1.5,1.25,20,13.68,76.62
20.82,1.066,1.018,10.22,28.39,60,1.048,70,1.33,1.25,18.33,6.19,66.73
20,1.067,1.011,17.63,28.5,60,1.047,75,3,0.35,22,7.41,22.56
22.71,1.052,1.016,14.18,37.85,60,1.031,70,1.3,0.35,18.33,4.78,24.24
22.71,1.078,1.022,5.82,30.28,90,1.058,75,1.5,0.35,21.11,7.36,78.1
27,1.101,1.022,38.26,32,90,1.079,75,1.5,1,20,10.36,53.69
20.82,1.082,1.01,5.03,26.5,60,1.064,63,1.25,0.75,18.89,9.37,115.09
20.82,1.065,1.017,14.58,28.39,60,1.047,75,1.75,1,19.44,6.25,19.41
20.82,1.055,1.013,42.38,30.28,60,1.038,75,1.25,0.75,20,5.55,30.6
20.82,1.051,1.012,5.1,24.61,60,1.043,70,1.25,0.5,20,5.18,16.49
41.64,1.071,1.02,31.9,51.1,90,1.05,70,1.25,1,20,6.76,20.4
23,1.082,1.018,5.56,34.5,60,1.055,73,3,1,20,9.07,65.33
4.54,1.06,1.014,5.93,9.46,60,1.029,70,1.33,0.75,20,5.97,12.44
22.71,1.081,1.027,50,32.18,60,1.057,68,1.25,1,20,7.03,46.49
26,1.05,1.008,3.26,30,60,1.043,72,3,0.75,19,5.59,13.58
20.82,1.063,1.015,4.6,28.39,60,1.046,70,1.25,0.35,20,6.32,102.91
20.82,1.052,1.013,5.62,26.5,60,1.041,70,1.25,0.75,20.56,5.07,14.69
42,1.074,1.021,7.08,55,70,1.056,75,2.5,1,20,6.95,68.31
20.82,1.059,1.013,4.47,28.39,60,1.043,70,1,0.5,20,6,16.57
41.64,1.053,1.01,7.55,49.21,60,1.045,70,1.5,0.35,22.22,5.63,33.14
20,1.113,1.028,38.93,27,60,1.084,60,2.5,1.25,22,11.15,54.92
20.82,1.096,1.027,21.59,26.27,60,1.076,68,1.5,1.25,20,8.97,29.89
170.34,1.082,1.019,17.09,181.7,75,1.077,75,1.5,0.75,20,8.29,33.4
20,1.048,1.013,16.14,22.6,60,1.043,78,3,0.35,18,4.62,20.51
12.8,1.055,1.013,23.75,15.8,70,1.042,70,2.5,0.75,19,5.54,40.84
18.93,1.074,1.012,3.54,23.85,75,1.059,70,1.2,1,21.11,8.18,21.79
41.64,1.043,1.01,4.4,45.69,60,1.039,73,1.5,0.75,20,4.34,21.02
3.79,1.056,1.016,5.5,8.52,60,1.025,75,1.5,0.5,21.11,5.28,25.4
20.82,1.071,1.015,22.05,28.39,60,1.052,80,1.5,1,19.44,7.42,46.67
20.82,1.052,1.014,31.12,28.39,60,1.038,60,1.5,0.75,20,5.06,36.51
